no,dongCode,lat,lng
1,1129013400,37.60839154,127.0287256
2,1162010100,37.49053785,126.9250657
3,1129013400,37.60839154,127.0287256
4,1153010200,37.48788825,126.8861036
5,1150010300,37.53512526,126.853607
6,1144010100,37.55651142,126.9591593
7,1154510100,37.47611155,126.8937742
8,1156013200,37.50489285,126.917316
9,1165010800,37.4959962,127.0147351
10,1121510400,37.54613669,127.104891
11,1126010100,37.58924141,127.0905495
12,1171010700,37.492971,127.1346794
13,1174010100,37.5522871,127.1557577
14,1144012500,37.56827565,126.8972574
15,1117010400,37.54163538,126.9715193
16,1171010700,37.50262802,127.1257913
17,1144012700,37.58012951,126.8834402
18,1111014100,37.5765873,126.9851109
19,1114016100,37.56441912,126.989883
20,1129013300,37.61311177,127.010145
21,1150010600,37.54938668,126.834082
22,1171010600,37.50183195,127.0884214
23,1129012500,37.58655882,127.0319532
24,1111015700,37.57206079,126.999504
25,1168010100,37.50342172,127.0477987
26,1168010600,37.50247316,127.0508531
27,1147010100,37.51499597,126.8582474
28,1135010300,37.63306923,127.0767711
29,1132010700,37.64191391,127.0379887
30,1144010600,37.54033616,126.9407474
31,1165010100,37.48903283,126.9935677
32,1165010300,37.46328956,127.0214494
33,1144012700,37.5735172,126.8902633
34,1141011100,37.59575749,126.9486365
35,1121510900,37.55286575,127.0719781
36,1159010500,37.50993145,126.9637201
37,1162010200,37.47519245,126.9359582
38,1165010200,37.48217269,127.0386384
39,1159010700,37.48409883,126.9689278
40,1154510300,37.45203132,126.9088332
41,1168010700,37.52113265,127.0219728
42,1168010800,37.51056507,127.0320306
43,1159010800,37.49994767,126.9283576
44,1147010200,37.53514387,126.8818596
45,1165010800,37.50375083,127.0240884
46,1120010400,37.56274199,127.0338801
47,1156011000,37.52517222,126.9248631
48,1121510300,37.53453044,127.0941674
49,1126010100,37.59075985,127.0899875
50,1123010400,37.58635887,127.053967
51,1159010200,37.49904616,126.9443167
52,1156012200,37.51432024,126.8913554
53,1168010600,37.50498647,127.0518958
54,1141012000,37.57231789,126.9134086
55,1141011200,37.55904247,126.9458589
56,1171010200,37.51363101,127.1042839
57,1111017500,37.57173064,127.0159683
58,1168010500,37.5115564,127.0520502
59,1168010600,37.4985528,127.0700156
60,1123010200,37.57779459,127.0279231
61,1121510200,37.55419691,127.0820458
62,1165010800,37.49305471,127.0283892
63,1123010600,37.56696471,127.0625437
64,1165010200,37.46246166,127.0369353
65,1171010800,37.48025407,127.126934
66,1144012700,37.57765307,126.8893189
67,1138010800,37.6088163,126.9160831
68,1147010200,37.53934831,126.8645069
69,1135010200,37.619317,127.0582279
70,1171011400,37.49663856,127.1521097
71,1162010200,37.48592247,126.9149892
72,1147010200,37.52714654,126.8746818
73,1156010500,37.51718283,126.9055549
74,1168011800,37.48805919,127.0534667
